CR_ID,DOMAIN,TARGET_PATH,MODE,XPATH,DELTA_PATH,ACTION
WV000063-AK-NEW-InternalNafathCallback,DWP-INTERNAL-API-GW,DATA_MAPPING.xml,Insert First,,,Merge XML
WV000063-AK-NEW-InternalNafathCallback,DWP-INTERNAL-API-GW,DATA_MAPPING.xml,Insert First,dm:DATA_MAPPING,0166_WLTPRD000176-ALL-DPProd-24-11-2025/ WV000063-AK-NEW-IntNafathCallback/Artifacts/ DWP-INTERNAL-API-GW  /local/SDR/DATA_MAPPING.xml,Merge XML
WV000063-AK-NEW-InternalNafathCallback,DWP-INTERNAL-API-GW,RESOURCE_AUTHORIZATION_MAPPING.xml,Insert First,,,Merge XML
entities,DWP-WMV-INTERNAL-API-GW,CLIENT_ID_ENV_MAPPING.xml,Insert First,,,Merge XML
entities,DWP-WMV-INTERNAL-API-GW,CLIENT_ID_ENV_MAPPING.xml,Insert First,,0166_WLTPRD000176-ALL-DPProd-24-11-2025/ WV000063-AK-NEW- IntNafathCallback/store/ CLIENT_ID_ENV_MAPPING.xml,Merge XML
WV000063-AK-NEW-GPM,DWP-GPM-API-GW,DATA_MAPPING.xml,Insert First,,,Merge XML
WV000063-AK-NEW-GPM,DWP-GPM-API-GW,DATA_MAPPING.xml,Insert First,dm:DATA_MAPPING,0166_WLTPRD000176-ALL-DPProd-24-11-2025/ WV000063-AK-NEW-GPM/Artifacts/ DWP-GPM-API-GW /local/SDR/DATA_MAPPING.xml,Merge XML
WV000063-AK-NEW-GPM,DWP-GPM-API-GW,RESOURCE_AUTHORIZATION_MAPPING.xml,Insert First,,,Merge XML
entities,DWP-GPM-API-GW,MAPPING.xml,Insert First,,,Merge XML
entities,DWP-GPM-API-GW,GPM_CLIENT_ID_ENV_MAPPING.xml,Insert First,,,Merge XML
entities,DWP-GPM-API-GW,GPM_ENVIRONMENT_STYLESHEET_PARAMETERS.xml,Insert First,,,Merge XML
IT000007-UPDATE-PC-DPLoggingMQAsyncCall,FoodPickup-API-GW,URL_ALIASES.xml,Insert First,,,Merge XML
IT000007-UPDATE-PC-DPLoggingMQAsyncCall,FoodPickup-API-GW,MAPPING.xml,Insert First,,,Merge XML
